SECCION,COORD.,COLONIA,Lista Hombres,Lista Mujeres,% MUJERES LISTA NOMINAL,"LISTA
NOMINAL",% DE CONTRIBUCIÓN DE LISTA NOMINAL- PESO ELECTORAL,"RENTABILIDAD - PESO ELECTORAL
(ALTA: las que representan el 60% de contribución
MEDIA: 20%-40%
BAJA: 0%-20%)",Cantidad de casillas 2024,Cantidad de ubicaciones  Casillas,Total de la Lista Nominal 2024,Total de votos 2024,% Participación ciudadana 20212,Hector Castillo,%HC,Jesus Nava,%JN,Roberto Espinoza (Morena),%RE,Verde3,PT4,PES5,VIDA,Candidaturas NO registradas6,Votos Nulos7,Ganar,ganador1,VotosGanador,Diferencia
2915,CZ21 ALEJANDRO MEDRANO GARCIA,"27 DE MAYO
SANTA CATALINA
SANTA JULIA
VIRGINIA TAFICH DE CANAVATI",583,608,0.510495382,1210,0.00512777,Baja,2,1,1210,646,0.533884298,174,0.269349845,330,0.510835913,81,0.125386997,10,10,10,5,0,26,GANADO,Jesus Nava,330,0.241486068
2022,CZ4 JOSE LUIS GAMEZ PEREZ,ADOLFO LOPEZ MATEOS,575,595,0.508547009,1173,0.004970971,Baja,2,1,1173,744,0.6342711,226,0.303763441,314,0.422043011,140,0.188172043,10,15,4,10,0,25,GANADO,Jesus Nava,314,0.11827957
2072,CZ21 ALEJANDRO MEDRANO GARCIA,"LA HUASTECA
LAZARO CARDENAS",586,581,0.497857755,1180,0.005000636,Baja,2,1,1180,644,0.545762712,207,0.321428571,278,0.431677019,85,0.131987578,8,15,7,4,0,40,GANADO,Jesus Nava,278,0.110248448
2012,CZ8 HUGO EDUARDO CASTILLO GARAY,FAMA II,566,580,0.506108202,1165,0.004937068,Baja,2,2,1165,690,0.592274678,300,0.434782609,210,0.304347826,114,0.165217391,19,12,2,7,0,26,PERDIDO,Hector Castillo,300,0.130434783
2020,CZ5 JUAN JESUS NAVARRO LOPEZ,MARTIRES DE CANANEA,500,525,0.512195122,1034,0.004381913,Baja,2,1,1034,653,0.631528046,252,0.385911179,213,0.32618683,120,0.183767228,15,15,3,5,0,30,PERDIDO,Hector Castillo,252,0.059724349
2043,CZ19 JUAN LUIS GUERRA MARES,"CENTRO DE SANTA CATARINA
REAL DE MINAS",468,518,0.52535497,990,0.004195449,Baja,2,1,990,593,0.598989899,215,0.362563238,247,0.416526138,80,0.134907251,8,8,9,3,0,23,GANADO,Jesus Nava,247,0.0539629
2083,CZ10 MARISOL  REYNA CASTILLO,"ESTACION LA LEONA
LA FAMA
PRIVADA ANTIGUA",522,432,0.452830189,967,0.004097979,Baja,2,1,967,547,0.565667011,147,0.268738574,222,0.405850091,116,0.212065814,9,9,9,20,0,15,GANADO,Jesus Nava,222,0.137111517
2082,CZ12 MARIA DEL CARMEN ARELLANO GARZA,"IDELFONSO VAZQUEZ
JESUS M GARZA
JOSE MARIA MORELOS
LA BARRICA
LA FAMA",501,445,0.470401691,954,0.004042887,Baja,2,1,954,473,0.495807128,121,0.255813953,180,0.380549683,114,0.241014799,11,13,0,16,0,18,GANADO,Jesus Nava,180,0.12473573
2023,CZ4 JOSE LUIS GAMEZ PEREZ,ADOLFO LOPEZ MATEOS,386,442,0.533816425,833,0.00353011,Baja,2,1,833,570,0.684273709,273,0.478947368,214,0.375438596,49,0.085964912,8,7,1,2,0,16,PERDIDO,Hector Castillo,273,0.103508772
2026,CZ4 JOSE LUIS GAMEZ PEREZ,ADOLFO LOPEZ MATEOS,360,396,0.523809524,753,0.003191084,Baja,2,1,753,528,0.701195219,268,0.507575758,165,0.3125,45,0.085227273,15,8,2,5,0,20,PERDIDO,Hector Castillo,268,0.195075758
2062,CZ10 MARISOL  REYNA CASTILLO,"ESTACION LA LEONA
LA FAMA
PRIVADAS ACUEDUCTO",364,361,0.497931034,736,0.003119041,Baja,1,1,736,471,0.639945652,254,0.539278132,126,0.267515924,57,0.121019108,4,8,1,7,0,14,PERDIDO,Hector Castillo,254,0.271762208
2794,CZ15 MARIO ALBERTO MUÑOZ URQUIZO,"ARROYO EL OBISPO
EL OBISPO
HACIENDA EL PALMAR
PRIVADAS DE SANTA CATARINA 1ER  SECTOR
PRIVADAS DE SANTA CATARINA 2DO SECTOR
PRIVADAS DE SANTA CATARINA, SECTOR ELITE",352,337,0.489114659,702,0.002974954,Baja,1,1,702,497,0.707977208,189,0.38028169,257,0.517102616,30,0.060362173,4,4,7,1,0,5,GANADO,Jesus Nava,257,0.136820926
2025,CZ4 JOSE LUIS GAMEZ PEREZ,ADOLFO LOPEZ MATEOS,301,355,0.541158537,669,0.002835106,Baja,1,1,669,461,0.689088191,219,0.47505423,144,0.312364425,66,0.143167028,11,1,2,3,0,15,PERDIDO,Hector Castillo,219,0.162689805
2057,CZ10 MARISOL  REYNA CASTILLO,"EL LECHUGAL
INDUSTRIAL UNIDAD NACIONAL
JARDINES DE LA FAMA
LA CAMPANIA 1ER Y 2DO SECTOR
LOS TREVIÑO
PRIVADA RDCIAL ONDARA
VALLE DE LA SIERRA",294,326,0.525806452,614,0.002602026,Baja,1,1,614,465,0.75732899,272,0.584946237,138,0.296774194,37,0.079569892,4,4,0,2,0,8,PERDIDO,Hector Castillo,272,0.288172043
2024,CZ4 JOSE LUIS GAMEZ PEREZ,ADOLFO LOPEZ MATEOS,237,292,0.551984877,534,0.002263,Baja,1,1,534,387,0.724719101,151,0.390180879,150,0.387596899,61,0.157622739,5,2,4,3,0,11,PERDIDO,Hector Castillo,151,0.00258398
2017,CZ8 HUGO EDUARDO CASTILLO GARAY,"INDECO LA FAMA 1
RINCON DE LAS MITRAS (FOMERREY 2)",211,194,0.479012346,410,0.001737509,Baja,1,1,410,164,0.4,41,0.25,57,0.347560976,40,0.243902439,5,5,0,1,0,15,GANADO,Jesus Nava,57,0.097560976
2079,CZ12 MARIA DEL CARMEN ARELLANO GARZA,,,,,,,,,,,,,1339,0.607256236,603,0.273469388,,,,,,,,,PERDIDO,Hector Castillo,1339,0.333786848
2080,CZ12 MARIA DEL CARMEN ARELLANO GARZA,,,,,,,,,,,,,399,0.438461538,249,0.273626374,,,,,,,,,PERDIDO,Hector Castillo,399,0.164835165
2081,CZ12 MARIA DEL CARMEN ARELLANO GARZA,,,,,,,,,,,,,964,0.576555024,396,0.236842105,,,,,,,,,PERDIDO,Hector Castillo,964,0.339712919
2084,CZ12 MARIA DEL CARMEN ARELLANO GARZA,,,,,,,,,,,,,97,0.42920354,72,0.318584071,,,,,,,,,PERDIDO,Hector Castillo,97,0.110619469
2085,CZ12 MARIA DEL CARMEN ARELLANO GARZA,,,,,,,,,,,,,20,0.540540541,0,0,,,,,,,,,PERDIDO,Hector Castillo,20,0.540540541
